id,causal_linkage_tier,causal_tier,expression_trend,expression_log2fc,therapeutic_alignment,therapeutic_recommendation,systemic_toxicity_risk,strategy_type,perturbation_ace,essentiality_tag,evidence_count,pathways,cell_types_active_in,regulating_snps,paracrine_targets,has_disease_link,has_pathway_link,eqtl_causal_direction,mean_eQTL_Z,max_eQTL_Z,mean_GWAS_Z,mean_GWAS_pval,min_GWAS_pval,n_snps_used,n_eQTL_variants,Evidence_Strength,Gene_Genetic_Confidence_Score,OR,CI_low,CI_high,mr_beta,mr_se,mr_pval,mr_direction,confidence_tier,method,is_gwas_hit,genetic_confidence_score,in_mr_risk,in_mr_protective,in_mr_any,in_eqtl,in_gwas
C4B,Tier 1 — Full Causal Chain (MR+eQTL+Disease+Pathway),Validated Driver,Down,0,Unknown,Context-Dependent,Low,Unknown,0,Unknown,2,Complement activation | Initial triggering of complement | Positive regulation of apoptotic cell clearance,,rs389884,,Yes,Yes,Risk,14.51166375,14.51166375,21.4707029,2.93E-102,2.93E-102,1,1,Strong,0.623427504,2.325768632,2.153295757,2.512056095,0.844050579,0.039311735,2.93E-102,Higher expression -> higher risk,Weak,Wald ratio,TRUE,0.623427504,TRUE,FALSE,TRUE,TRUE,TRUE
HLA-C,Tier 1 — Full Causal Chain (MR+eQTL+Disease+Pathway),Validated Driver,Up,0,Unknown,Context-Dependent,Low,Unknown,0,Unknown,1,Antigen processing and presentation of endogenous peptide antigen via MHC class I | Antigen processing and presentation of peptide antigen via MHC class I | Epstein-Barr virus infection | Interferon Signaling | Interferon alpha/beta signaling,,rs2245731,,Yes,Yes,Risk,-20.60034067,-20.60034067,-8.881880732,6.57E-19,6.57E-19,1,1,Moderate,0.356353873,1.835025623,1.604956157,2.098075404,0.607058445,0.068347962,6.57E-19,Higher expression -> higher risk,Weak,Wald ratio,FALSE,0.356353873,TRUE,FALSE,TRUE,TRUE,FALSE
HLA-DMA,Tier 1 — Full Causal Chain (MR+eQTL+Disease+Pathway),Validated Driver,Down,0,Unknown,Context-Dependent,Low,Unknown,0,Unknown,1,Antigen processing and presentation of exogenous peptide antigen via MHC class II | Asthma | Autoimmune thyroid disease | Cell adhesion molecules | Graft-versus-host disease | Hematopoietic cell lineage | Human T-cell leukemia virus 1 infection | Inflammatory bowel disease | Intestinal immune network for IgA production | Peptide antigen assembly with MHC class II protein complex | Phagosome | Positive regulation of T cell activation | Positive regulation of cell adhesion | Positive regulation of leukocyte activation | Positive regulation of leukocyte cell-cell adhesion | Positive regulation of lymphocyte activation | Regulation of cell adhesion | Regulation of cell-cell adhesion | Regulation of leukocyte cell-cell adhesion | Rheumatoid arthritis | Systemic lupus erythematosus | Th1 and Th2 cell differentiation | Th17 cell differentiation | Toxoplasmosis | Type I diabetes mellitus | Viral myocarditis,,rs59576053,,Yes,Yes,Risk,5.730441779,5.730441779,13.40255717,5.84E-41,5.84E-41,1,1,Weak,0.291800879,36.74360606,21.69144184,62.24079506,3.603964226,0.268901239,5.84E-41,Higher expression -> higher risk,Weak,Wald ratio,FALSE,0.291800879,TRUE,FALSE,TRUE,TRUE,FALSE
HLA-DRB1,Tier 1 — Full Causal Chain (MR+eQTL+Disease+Pathway),Validated Driver,Up,0,Unknown,Context-Dependent,Low,Unknown,0,Unknown,2,Adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains | Allograft rejection | Antigen processing and presentation | Antigen processing and presentation of endogenous peptide antigen | Antigen processing and presentation of exogenous peptide antigen | Antigen processing and presentation of peptide antigen | Biological process involved in interspecies interaction between organisms | Cytokine Signaling in Immune system | Defense response | Ebola virus infection in host | Immune System | Immune response | Immune system process | Inflammatory response to antigenic stimulus | Interferon Signaling | Interferon gamma signaling | Negative regulation of cell population proliferation | Negative regulation of response to stimulus | Network map of SARS-CoV-2 signaling pathway | Positive regulation of adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains | Positive regulation of immune effector process | Positive regulation of immune response | Positive regulation of multicellular organismal process | Positive regulation of myeloid cell differentiation | Regulation of T cell proliferation | Regulation of adaptive immune response | Regulation of adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains | Regulation of alpha-beta T cell activation | Regulation of cell activation | Regulation of cytokine production | Regulation of defense response | Regulation of hemopoiesis | Regulation of immune effector process | Regulation of immune response | Regulation of inflammatory response to antigenic stimulus | Regulation of interferon-gamma production | Regulation of leukocyte mediated cytotoxicity | Regulation of leukocyte mediated immunity | Regulation of lymphocyte mediated immunity | Regulation of myeloid cell differentiation | Regulation of response to biotic stimulus | Regulation of response to external stimulus | Regulation of response to stress | Regulation of viral life cycle | Response to biotic stimulus | Response to external stimulus | Response to other organism,,rs113568276,,Yes,Yes,Risk,-17.81600297,-17.81600297,-7.559398029,4.05E-14,4.05E-14,1,1,Weak,0.288404551,2.801569704,2.144861391,3.659347332,1.030179869,0.13627803,4.05E-14,Higher expression -> higher risk,Weak,Wald ratio,TRUE,0.288404551,TRUE,FALSE,TRUE,TRUE,TRUE
BLK,Tier 1 — Full Causal Chain (MR+eQTL+Disease+Pathway),Validated Driver,Down,0,Unknown,Context-Dependent,Low,Unknown,0,Unknown,2,Regulation of cell adhesion | Regulation of cell-cell adhesion | Regulation of leukocyte proliferation,,rs2618444,,Yes,Yes,Protective,-13.20438615,-13.20438615,8.248983865,1.60E-16,1.60E-16,1,1,Weak,0.258940424,0.337595349,0.260820116,0.436970205,-1.085907294,0.131641341,1.60E-16,Higher expression -> lower risk (protective),Weak,Wald ratio,TRUE,0.258940424,FALSE,TRUE,TRUE,TRUE,TRUE
HLA-A,Tier 1 — Full Causal Chain (MR+eQTL+Disease+Pathway),Validated Driver,Up,0,Unknown,Context-Dependent,Low,Unknown,0,Unknown,2,Adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains | Allograft rejection | Antigen processing and presentation | Antigen processing and presentation of endogenous peptide antigen | Antigen processing and presentation of endogenous peptide antigen via MHC class I | Antigen processing and presentation of exogenous peptide antigen | Antigen processing and presentation of exogenous peptide antigen via MHC class I | Antigen processing and presentation of peptide antigen | Antigen processing and presentation of peptide antigen via MHC class I | Biological process involved in interspecies interaction between organisms | Cell activation | Cytokine Signaling in Immune system | Defense response | Defense response to bacterium | Defense response to other organism | Ebola virus infection in host | Epstein-Barr virus infection | Immune System | Immune response | Innate immune response | Interferon Signaling | Interferon alpha/beta signaling | Interferon gamma signaling | Kaposi sarcoma-associated herpesvirus infection | Negative regulation of response to stimulus | Positive regulation of adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains | Positive regulation of cytokine production | Positive regulation of immune effector process | Regulation of T cell proliferation | Regulation of adaptive immune response | Regulation of adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains | Regulation of alpha-beta T cell activation | Regulation of alpha-beta T cell proliferation | Regulation of cell activation | Regulation of cytokine production | Regulation of defense response | Regulation of immune effector process | Regulation of innate immune response | Regulation of interferon-gamma production | Regulation of leukocyte mediated cytotoxicity | Regulation of leukocyte mediated immunity | Regulation of lymphocyte mediated immunity | Regulation of response to biotic stimulus | Regulation of response to external stimulus | Regulation of response to stress | Response to bacterium | Response to biotic stimulus | Response to other organism | Type I diabetes mellitus | Viral carcinogenesis,,rs2734971,,Yes,Yes,Risk,-14.42899054,-14.42899054,-4.785103787,1.71E-06,1.71E-06,1,1,Low,0.180249011,0.659007924,0.555529887,0.78176072,-0.41701972,0.087149566,1.71E-06,Higher expression -> lower risk (protective),Weak,Wald ratio,TRUE,0.180249011,FALSE,TRUE,TRUE,TRUE,TRUE
LGALS9C,Tier 1 — Full Causal Chain (MR+eQTL+Disease+Pathway),Validated Driver,Up,0,Unknown,Context-Dependent,Low,Unknown,0,Unknown,1,Regulation of T cell proliferation | Regulation of alpha-beta T cell proliferation | Regulation of interferon-gamma production,,rs9892882,,Yes,Yes,Protective,20.31837899,20.31837899,-2.937783294,0.00330568,0.00330568,1,1,Low,0.177018786,1.148849193,1.047266859,1.260284767,0.13876074,0.047233143,0.00330568,Higher expression -> higher risk,Weak,Wald ratio,FALSE,0.177018786,TRUE,FALSE,TRUE,TRUE,FALSE
IL12RB2,Tier 1 — Full Causal Chain (MR+eQTL+Disease+Pathway),Validated Driver,Down,0,Unknown,Context-Dependent,Low,Unknown,0,Unknown,2,Inflammatory bowel disease | Positive regulation of T cell activation | Positive regulation of cell adhesion | Positive regulation of interferon-gamma production | Positive regulation of leukocyte activation | Positive regulation of leukocyte cell-cell adhesion | Regulation of cell adhesion | Regulation of cell-cell adhesion | Regulation of leukocyte cell-cell adhesion | Regulation of leukocyte proliferation | Th1 and Th2 cell differentiation,,rs17129794,,Yes,Yes,Risk,13.64736541,13.64736541,4.804333299,1.55E-06,1.55E-06,1,1,Low,0.173909251,1.698780361,1.368514137,2.108750387,0.529910559,0.110298459,1.55E-06,Higher expression -> higher risk,Weak,Wald ratio,TRUE,0.173909251,TRUE,FALSE,TRUE,TRUE,TRUE
ITGAX,Tier 1 — Full Causal Chain (MR+eQTL+Disease+Pathway),Validated Driver,Up,0,Unknown,Context-Dependent,Low,Unknown,0,Unknown,2,Cell adhesion mediated by integrin | Cytokine Signaling in Immune system | Defense response | Defense response to other organism | Defense response to virus | Extrafollicular and follicular B cell activation by SARS-CoV-2 | Response to biotic stimulus | Response to other organism | Response to virus | Signaling by Interleukins | Tuberculosis,,rs11150616,,Yes,Yes,Protective,17.21594242,17.21594242,-2.667903839,0.00763261,0.00763261,1,1,Low,0.145408694,1.340334997,1.080823798,1.662156131,0.29291958,0.109793905,0.00763261,Higher expression -> higher risk,Weak,Wald ratio,TRUE,0.145408694,TRUE,FALSE,TRUE,TRUE,TRUE
POLR3K,Tier 1 — Full Causal Chain (MR+eQTL+Disease+Pathway),Validated Driver,Down,0,Unknown,Context-Dependent,Low,Unknown,0,Unknown,1,RNA polymerase,,rs2541593,,Yes,Yes,Risk,15.32924134,15.32924134,3.114039151,0.00184545,0.00184545,1,1,Low,0.143078835,0.777709787,0.663891803,0.91104079,-0.251401849,0.080731756,0.00184545,Higher expression -> lower risk (protective),Weak,Wald ratio,FALSE,0.143078835,FALSE,TRUE,TRUE,TRUE,FALSE
